timestamp,log_level,group_id,thread_id,module,message
"2025-01-08 00:46:28,238",INFO,31,0,runtime,Request received for endpoint: [lcl/api/v1/app/instance/list]
"2025-01-08 00:46:28,238",INFO,31,2117,api/v1/app/instance/list,Request START -- [49.43.88.107][lcl/api/v1/app/instance/list][en_US][2117]
"2025-01-08 00:46:28,238",DEBUG,31,2117,api/v1/app/instance/list,Checking user authz
"2025-01-08 00:46:28,246",DEBUG,31,2117,api/v1/app/instance/list,"reading input - payload, query params and path vars"
"2025-01-08 00:46:28,246",DEBUG,31,2117,api/v1/app/instance/list,performing input validation
"2025-01-08 00:46:28,248",DEBUG,31,2117,api/v1/app/instance/list,generating output
"2025-01-08 00:46:28,250",INFO,33,0,runtime,Request received for endpoint: [lcl/api/v1/app/list]
"2025-01-08 00:46:28,250",INFO,33,2118,api/v1/app/list,Request START -- [49.43.88.107][lcl/api/v1/app/list][en_US][2118]
"2025-01-08 00:46:28,251",DEBUG,33,2118,api/v1/app/list,Checking user authz
"2025-01-08 00:46:28,253",INFO,31,2117,api/v1/app/instance/list,Request END -- [10]
"2025-01-08 00:46:28,256",DEBUG,33,2118,api/v1/app/list,"reading input - payload, query params and path vars"
"2025-01-08 00:46:28,256",DEBUG,33,2118,api/v1/app/list,performing input validation
"2025-01-08 00:46:28,257",DEBUG,33,2118,api/v1/app/list,generating output
"2025-01-08 00:46:28,261",INFO,33,2118,api/v1/app/list,Request END -- [7]
"2025-01-08 00:46:28,264",INFO,27,0,runtime,Request received for endpoint: [lcl/api/v1/app/health/score/get]
"2025-01-08 00:46:28,264",INFO,27,2119,api/v1/app/health/score/get,Request START -- [49.43.88.107][lcl/api/v1/app/health/score/get][en_US][2119]
"2025-01-08 00:46:28,264",DEBUG,27,2119,api/v1/app/health/score/get,Checking user authz
"2025-01-08 00:46:28,274",DEBUG,27,2119,api/v1/app/health/score/get,"reading input - payload, query params and path vars"
"2025-01-08 00:46:28,274",DEBUG,27,2119,api/v1/app/health/score/get,performing input validation
"2025-01-08 00:46:28,274",INFO,822,5276,com.obs.lcl.blmodule.helpers.InstaUptimeTask:1056,START - ConcurrentTask
"2025-01-08 00:46:28,274",INFO,821,5280,com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:1056,START - ConcurrentTask
"2025-01-08 00:46:28,274",INFO,820,5278,com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:1056,START - ConcurrentTask
"2025-01-08 00:46:28,274",INFO,818,5279,com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:1056,START - ConcurrentTask
"2025-01-08 00:46:28,274",INFO,819,5277,com.obs.lcl.blmodule.helpers.InstaEventCountsTask:1056,START - ConcurrentTask
"2025-01-08 00:46:28,275",DEBUG,822,5276,com.obs.lcl.blmodule.helpers.InstaUptimeTask:1056,with uptime_range as (
"2025-01-08 00:46:28,278",INFO,818,5279,com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:1056,END - ConcurrentTask [4]
"2025-01-08 00:46:28,286",INFO,820,5278,com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:1056,END - ConcurrentTask [12]
"2025-01-08 00:46:28,408",INFO,26,0,runtime,Request received for endpoint: [lcl/api/v1/app/health/score/get]
"2025-01-08 00:46:28,408",INFO,26,2120,api/v1/app/health/score/get,Request START -- [49.43.88.107][lcl/api/v1/app/health/score/get][en_US][2120]
"2025-01-08 00:46:28,408",DEBUG,26,2120,api/v1/app/health/score/get,Checking user authz
"2025-01-08 00:46:28,415",INFO,24,0,runtime,Request received for endpoint: [lcl/api/v1/app/instance/list]
"2025-01-08 00:46:28,415",INFO,24,2121,api/v1/app/instance/list,Request START -- [49.43.88.107][lcl/api/v1/app/instance/list][en_US][2121]
"2025-01-08 00:46:28,415",DEBUG,24,2121,api/v1/app/instance/list,Checking user authz
"2025-01-08 00:46:28,416",DEBUG,26,2120,api/v1/app/health/score/get,"reading input - payload, query params and path vars"
"2025-01-08 00:46:28,416",DEBUG,26,2120,api/v1/app/health/score/get,performing input validation
"2025-01-08 00:46:28,416",INFO,820,5281,com.obs.lcl.blmodule.helpers.InstaUptimeTask:1057,START - ConcurrentTask
"2025-01-08 00:46:28,416",INFO,818,5282,com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:1057,START - ConcurrentTask
"2025-01-08 00:46:28,416",INFO,823,5283,com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:1057,START - ConcurrentTask
"2025-01-08 00:46:28,417",INFO,824,5284,com.obs.lcl.blmodule.helpers.InstaEventCountsTask:1057,START - ConcurrentTask
"2025-01-08 00:46:28,417",INFO,825,5285,com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:1057,START - ConcurrentTask
"2025-01-08 00:46:28,423",INFO,825,5285,com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:1057,END - ConcurrentTask [6]
"2025-01-08 00:46:28,425",DEBUG,820,5281,com.obs.lcl.blmodule.helpers.InstaUptimeTask:1057,with uptime_range as (
"2025-01-08 00:46:28,433",DEBUG,24,2121,api/v1/app/instance/list,"reading input - payload, query params and path vars"
"2025-01-08 00:46:28,434",DEBUG,24,2121,api/v1/app/instance/list,performing input validation
"2025-01-08 00:46:28,440",DEBUG,24,2121,api/v1/app/instance/list,generating output
"2025-01-08 00:46:28,447",INFO,823,5283,com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:1057,END - ConcurrentTask [31]
"2025-01-08 00:46:28,468",INFO,24,2121,api/v1/app/instance/list,Request END -- [25]
"2025-01-08 00:46:28,478",INFO,819,5277,com.obs.lcl.blmodule.helpers.InstaEventCountsTask:1056,END - ConcurrentTask [204]
"2025-01-08 00:46:28,734",INFO,821,5280,com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:1056,END - ConcurrentTask [460]
"2025-01-08 00:46:28,818",INFO,824,5284,com.obs.lcl.blmodule.helpers.InstaEventCountsTask:1057,END - ConcurrentTask [401]
"2025-01-08 00:46:28,843",INFO,818,5282,com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:1057,END - ConcurrentTask [427]
"2025-01-08 00:46:29,903",INFO,822,5276,com.obs.lcl.blmodule.helpers.InstaUptimeTask:1056,END - ConcurrentTask [1629]
"2025-01-08 00:46:29,977",DEBUG,27,2119,api/v1/app/health/score/get,generating output
"2025-01-08 00:46:29,979",INFO,820,5281,com.obs.lcl.blmodule.helpers.InstaUptimeTask:1057,END - ConcurrentTask [1563]
"2025-01-08 00:46:29,985",INFO,27,2119,api/v1/app/health/score/get,Request END -- [1714]
"2025-01-08 00:46:30,069",DEBUG,26,2120,api/v1/app/health/score/get,generating output
"2025-01-08 00:46:30,076",INFO,26,2120,api/v1/app/health/score/get,Request END -- [1662]
"2025-01-08 02:41:22,860",INFO,28,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
"2025-01-08 02:41:22,861",ERROR,28,0,runtime,Request Not Supported
"2025-01-08 02:41:22,865",INFO,28,0,runtime,Request END -- [1]
"2025-01-08 02:41:25,092",INFO,25,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
"2025-01-08 02:41:25,092",ERROR,25,0,runtime,Request Not Supported
"2025-01-08 02:41:25,097",INFO,25,0,runtime,Request END -- [0]
"2025-01-08 02:41:28,457",INFO,31,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
"2025-01-08 02:41:28,457",ERROR,31,0,runtime,Request Not Supported
"2025-01-08 02:41:28,462",INFO,31,0,runtime,Request END -- [0]
"2025-01-08 02:42:13,793",INFO,33,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
"2025-01-08 02:42:13,793",ERROR,33,0,runtime,Request Not Supported
"2025-01-08 02:42:13,798",INFO,33,0,runtime,Request END -- [1]
"2025-01-08 02:47:27,559",INFO,26,0,runtime,Request received for endpoint: [lcl/api/v1/alert/listentityID=0]
"2025-01-08 02:47:27,559",ERROR,26,0,runtime,Request Not Supported
"2025-01-08 02:47:27,564",INFO,26,0,runtime,Request END -- [0]
"2025-01-08 02:47:31,554",INFO,30,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
"2025-01-08 02:47:31,555",ERROR,30,0,runtime,Request Not Supported
"2025-01-08 02:47:31,559",INFO,30,0,runtime,Request END -- [1]
"2025-01-08 02:47:34,571",INFO,32,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
"2025-01-08 02:47:34,572",ERROR,32,0,runtime,Request Not Supported
"2025-01-08 02:47:34,577",INFO,32,0,runtime,Request END -- [1]
"2025-01-08 02:47:41,605",INFO,29,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
"2025-01-08 02:47:41,605",ERROR,29,0,runtime,Request Not Supported
"2025-01-08 02:47:41,609",INFO,29,0,runtime,Request END -- [1]
"2025-01-08 02:48:15,548",INFO,28,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
"2025-01-08 02:48:15,548",ERROR,28,0,runtime,Request Not Supported
"2025-01-08 02:48:15,553",INFO,28,0,runtime,Request END -- [0]
"2025-01-08 02:48:19,547",INFO,25,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
"2025-01-08 02:48:19,547",ERROR,25,0,runtime,Request Not Supported
"2025-01-08 02:48:19,552",INFO,25,0,runtime,Request END -- [0]
"2025-01-08 02:48:26,572",INFO,31,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
"2025-01-08 02:48:26,572",ERROR,31,0,runtime,Request Not Supported
"2025-01-08 02:48:26,577",INFO,31,0,runtime,Request END -- [0]
"2025-01-08 02:48:32,549",INFO,33,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
"2025-01-08 02:48:32,549",ERROR,33,0,runtime,Request Not Supported
"2025-01-08 02:48:32,554",INFO,33,0,runtime,Request END -- [0]
"2025-01-08 02:48:58,551",INFO,24,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
"2025-01-08 02:48:58,551",ERROR,24,0,runtime,Request Not Supported
"2025-01-08 02:48:58,556",INFO,24,0,runtime,Request END -- [0]
"2025-01-08 02:49:00,542",INFO,27,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
"2025-01-08 02:49:00,542",ERROR,27,0,runtime,Request Not Supported
"2025-01-08 02:49:00,547",INFO,27,0,runtime,Request END -- [0]
"2025-01-08 02:49:05,543",INFO,26,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
"2025-01-08 02:49:05,543",ERROR,26,0,runtime,Request Not Supported
"2025-01-08 02:49:05,547",INFO,26,0,runtime,Request END -- [0]
"2025-01-08 02:49:14,556",INFO,30,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
