srno,timestamp,log_level,thread_id,group_id,module,message
16337,"2025-01-08 04:05:41,964",INFO,29,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
16338,"2025-01-08 04:05:41,964",INFO,29,4455,api/v1/alert/list,Request START -- [49.43.88.107][lcl/api/v1/alert/list][en_US][4455]
16339,"2025-01-08 04:05:41,964",DEBUG,29,4455,api/v1/alert/list,Checking user authz
16340,"2025-01-08 04:05:41,969",INFO,28,4453,api/v1/alert/list,Request END -- [8]
16341,"2025-01-08 04:05:41,971",DEBUG,32,4454,api/v1/alert/list,"reading input - payload, query params and path vars"
16342,"2025-01-08 04:05:41,971",DEBUG,32,4454,api/v1/alert/list,performing input validation
16343,"2025-01-08 04:05:41,972",DEBUG,32,4454,api/v1/alert/list,generating output
16344,"2025-01-08 04:05:41,975",DEBUG,29,4455,api/v1/alert/list,"reading input - payload, query params and path vars"
16345,"2025-01-08 04:05:41,975",DEBUG,29,4455,api/v1/alert/list,performing input validation
16346,"2025-01-08 04:05:41,978",DEBUG,29,4455,api/v1/alert/list,generating output
16347,"2025-01-08 04:05:41,983",INFO,32,4454,api/v1/alert/list,Request END -- [16]
16348,"2025-01-08 04:05:41,987",INFO,29,4455,api/v1/alert/list,Request END -- [15]
16349,"2025-01-08 04:05:42,086",INFO,26,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
16350,"2025-01-08 04:05:42,086",INFO,26,4456,api/v1/alert/list,Request START -- [49.43.88.107][lcl/api/v1/alert/list][en_US][4456]
16351,"2025-01-08 04:05:42,086",DEBUG,26,4456,api/v1/alert/list,Checking user authz
16352,"2025-01-08 04:05:42,092",DEBUG,26,4456,api/v1/alert/list,"reading input - payload, query params and path vars"
16353,"2025-01-08 04:05:42,092",DEBUG,26,4456,api/v1/alert/list,performing input validation
16354,"2025-01-08 04:05:42,093",DEBUG,26,4456,api/v1/alert/list,generating output
16355,"2025-01-08 04:05:42,100",INFO,27,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
16356,"2025-01-08 04:05:42,100",INFO,27,4457,api/v1/alert/list,Request START -- [49.43.88.107][lcl/api/v1/alert/list][en_US][4457]
16357,"2025-01-08 04:05:42,100",DEBUG,27,4457,api/v1/alert/list,Checking user authz
16358,"2025-01-08 04:05:42,102",INFO,26,4456,api/v1/alert/list,Request END -- [9]
16359,"2025-01-08 04:05:42,106",DEBUG,27,4457,api/v1/alert/list,"reading input - payload, query params and path vars"
16360,"2025-01-08 04:05:42,107",DEBUG,27,4457,api/v1/alert/list,performing input validation
16361,"2025-01-08 04:05:42,108",DEBUG,27,4457,api/v1/alert/list,generating output
16362,"2025-01-08 04:05:42,108",INFO,24,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
16363,"2025-01-08 04:05:42,108",INFO,24,4458,api/v1/alert/list,Request START -- [49.43.88.107][lcl/api/v1/alert/list][en_US][4458]
16364,"2025-01-08 04:05:42,109",DEBUG,24,4458,api/v1/alert/list,Checking user authz
16365,"2025-01-08 04:05:42,118",DEBUG,24,4458,api/v1/alert/list,"reading input - payload, query params and path vars"
16366,"2025-01-08 04:05:42,118",DEBUG,24,4458,api/v1/alert/list,performing input validation
16367,"2025-01-08 04:05:42,119",DEBUG,24,4458,api/v1/alert/list,generating output
16368,"2025-01-08 04:05:42,119",INFO,27,4457,api/v1/alert/list,Request END -- [8]
16369,"2025-01-08 04:05:42,121",INFO,33,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
16370,"2025-01-08 04:05:42,122",INFO,33,4459,api/v1/alert/list,Request START -- [49.43.88.107][lcl/api/v1/alert/list][en_US][4459]
16371,"2025-01-08 04:05:42,122",DEBUG,33,4459,api/v1/alert/list,Checking user authz
16372,"2025-01-08 04:05:42,124",INFO,31,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
16373,"2025-01-08 04:05:42,124",INFO,31,4460,api/v1/alert/list,Request START -- [49.43.88.107][lcl/api/v1/alert/list][en_US][4460]
16374,"2025-01-08 04:05:42,124",DEBUG,31,4460,api/v1/alert/list,Checking user authz
16375,"2025-01-08 04:05:42,128",INFO,24,4458,api/v1/alert/list,Request END -- [12]
16376,"2025-01-08 04:05:42,130",DEBUG,33,4459,api/v1/alert/list,"reading input - payload, query params and path vars"
16377,"2025-01-08 04:05:42,130",DEBUG,33,4459,api/v1/alert/list,performing input validation
16378,"2025-01-08 04:05:42,131",DEBUG,33,4459,api/v1/alert/list,generating output
16379,"2025-01-08 04:05:42,132",DEBUG,31,4460,api/v1/alert/list,"reading input - payload, query params and path vars"
16380,"2025-01-08 04:05:42,132",DEBUG,31,4460,api/v1/alert/list,performing input validation
16381,"2025-01-08 04:05:42,135",DEBUG,31,4460,api/v1/alert/list,generating output
16382,"2025-01-08 04:05:42,136",INFO,25,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
16383,"2025-01-08 04:05:42,136",INFO,25,4461,api/v1/alert/list,Request START -- [49.43.88.107][lcl/api/v1/alert/list][en_US][4461]
16384,"2025-01-08 04:05:42,136",DEBUG,25,4461,api/v1/alert/list,Checking user authz
16385,"2025-01-08 04:05:42,144",INFO,33,4459,api/v1/alert/list,Request END -- [10]
16386,"2025-01-08 04:05:42,149",INFO,31,4460,api/v1/alert/list,Request END -- [11]
16387,"2025-01-08 04:05:42,153",DEBUG,25,4461,api/v1/alert/list,"reading input - payload, query params and path vars"
16388,"2025-01-08 04:05:42,153",DEBUG,25,4461,api/v1/alert/list,performing input validation
